candidate_index,raw,valid,invalid_reasons,duplicate_of,canonical_expression,terms,term_count,cv_rmse_mean,cv_rmse_std,cv_r2,condition_number
1,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cs*Sn,False,fewer than 8 non-constant terms,,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn,,,,,
2,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Br^2 + a6*Cs^2 + a7*Cs*Sn,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Br^2;Cs^2;Cs*Sn,,,,,
3,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs*Sn + a6*Cs*Br,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Cs*Sn;Cs*Br,,,,,
4,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Cs*Sn + a7*Cs*Br,False,fewer than 8 non-constant terms,,,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br,,,,,
5,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Cs*Sn + a7*Cs*Br,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Cs^2;Cs*Sn;Cs*Br,,,,,
6,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Br^2 + a6*Cs*Sn,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Br^2;Cs*Sn,,,,,
7,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs*Sn + a6*Cs*Cl,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Cs*Sn;Cs*Cl,,,,,
8,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Cs*Sn + a7*Cs*Cl,False,fewer than 8 non-constant terms,,,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Cl,,,,,
9,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Cs*Sn,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Cs^2;Cs*Sn,,,,,
10,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Br^2 + a6*Cs^2 + a7*Cs*Sn + a8*Cs*Br,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Br^2 + a6*Cs^2 + a7*Cs*Sn + a8*Cs*Br,Sn;Br;Cs;Sn^2;Br^2;Cs^2;Cs*Sn;Cs*Br,8.0,0.19336579039441507,0.07307808264146673,0.563503236349755,23.775076924431097
11,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs*Sn + a6*Cs*Br + a7*Cs*Cl,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,,,,,
12,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Cs*Sn + a7*Cs*Br + a8*Cs*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Cs*Sn + a7*Cs*Br + a8*Cs*Cl,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,8.0,0.06558778027066985,0.00935009164043629,0.9542582149025545,21.050999460507942
13,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Cs*Sn + a7*Cs*Br + a8*Cs*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Cs*Sn + a7*Cs*Br + a8*Cs*Cl,Sn;Br;Cs;Sn^2;Cs^2;Cs*Sn;Cs*Br;Cs*Cl,8.0,0.17635586333709177,0.055931612645564274,0.6479984779564718,23.863785653534446
14,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Br^2 + a6*Cs*Sn + a7*Cs*Br,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,,,,,
15,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Cs*Sn + a7*Cs*Br + a8*Br*Cl,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs^2 + a6*Br*Cl + a7*Cs*Sn + a8*Cs*Br,Sn;Br;Cs;Sn^2;Cs^2;Br*Cl;Cs*Sn;Cs*Br,8.0,0.15127207731053718,0.09190556987165734,0.6891498326365644,30.508351908850702
16,Eg = a0 + a1*Sn + a2*Br + a3*Cs + a4*Sn^2 + a5*Cs*Sn + a6*Cs*Br + a7*Br*Cl,False,fewer than 8 non-constant terms,,,Sn;Br;Cs;Sn^2;Br*Cl;Cs*Sn;Cs*Br,,,,,
