record_type,group_strategy,n_splits,mean_test_rmse,sd_test_rmse,median_test_rmse,worst_test_rmse,mean_test_mae,sd_test_mae,mean_jaccard_to_M4,median_jaccard_to_M4,mean_n_terms,median_n_terms,main_failure_regime,heldout_groups
strategy_summary,composition_family_group_shuffle,20,0.0884432615495356,0.0335482760455834,0.074958710124128,0.1622250770661361,0.0676150444678849,0.0265588850239209,0.7790277777777778,0.8375,7.15,7.0,Cs_rich__Pb_rich__I_rich;Cs_rich__Pb_rich__mixed_halide;Cs_rich__mixed_B__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,
strategy_summary,halide_logo,4,0.2709573885952632,0.4123548940647588,0.0693948868211065,0.8894008329518155,0.2200201334519662,0.3385880677459449,0.875,0.875,7.0,7.0,Cl_containing,
strategy_summary,a_site_logo,4,0.0854680660529934,0.0636235463829437,0.0709637568046165,0.1738221549247762,0.0666256212254071,0.0526887187451148,0.8506944444444444,0.8888888888888888,7.25,8.0,Cs_rich,
heldout_group,composition_family_group_shuffle,1,0.1436637602243941,,,,0.1051692396346679,,0.875,,,,,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__mixed_halide
heldout_group,composition_family_group_shuffle,1,0.0839295045455748,,,,0.070833489700865,,1.0,,,,,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Br_rich;mixed_A__Pb_rich__I_rich
heldout_group,composition_family_group_shuffle,1,0.0735242879197142,,,,0.0541946539729058,,0.7777777777777778,,,,,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich
heldout_group,composition_family_group_shuffle,1,0.0692483780680908,,,,0.0558593458485089,,0.4444444444444444,,,,,Cs_rich__Pb_rich__Br_rich;Cs_rich__Sn_rich__Br_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Br_rich;MA_rich__mixed_B__mixed_halide
heldout_group,composition_family_group_shuffle,1,0.0790600329957212,,,,0.0529409254014884,,0.5555555555555556,,,,,Cs_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__I_rich;MA_rich__mixed_B__mixed_halide
heldout_group,composition_family_group_shuffle,1,0.153071101388507,,,,0.0624199676073702,,0.6,,,,,Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__Cl_containing;FA_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich
heldout_group,composition_family_group_shuffle,1,0.0852312290715121,,,,0.0678903718993948,,0.6666666666666666,,,,,Cs_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__I_rich
heldout_group,composition_family_group_shuffle,1,0.1622250770661361,,,,0.1484247806634177,,0.7777777777777778,,,,,Cs_rich__Pb_rich__I_rich;Cs_rich__Pb_rich__mixed_halide;Cs_rich__mixed_B__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing
heldout_group,composition_family_group_shuffle,1,0.1316325173371404,,,,0.1111807427640746,,0.625,,,,,Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__Br_rich;FA_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing
heldout_group,composition_family_group_shuffle,1,0.0641265180083939,,,,0.052695176510135,,0.875,,,,,Cs_rich__Pb_rich__I_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide
heldout_group,composition_family_group_shuffle,1,0.0680412226704209,,,,0.0488839134646831,,0.625,,,,,Cs_rich__Pb_rich__mixed_halide;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__I_rich
heldout_group,composition_family_group_shuffle,1,0.0754019634687709,,,,0.0599090859196818,,0.875,,,,,Cs_rich__Sn_rich__Cl_containing;Cs_rich__Sn_rich__I_rich;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich
heldout_group,composition_family_group_shuffle,1,0.0463504219851532,,,,0.0348883026145618,,1.0,,,,,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Sn_rich__I_rich
heldout_group,composition_family_group_shuffle,1,0.113657745308098,,,,0.0783899349755435,,0.875,,,,,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;MA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing
heldout_group,composition_family_group_shuffle,1,0.0874695528373356,,,,0.0772204337524423,,0.875,,,,,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide
