candidate_index,raw,valid,invalid_reasons,duplicate_of,canonical_expression,terms,term_count,cv_rmse_mean,cv_rmse_std,cv_r2,condition_number
1,Eg = a0 + a1*Sn + a2*Br + a3*Cl,False,missing required quadratic curvature term,,,Sn;Br;Cl,,,,,
2,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2,Sn;Br;Cl;Sn^2,4.0,0.06930096155365931,0.0029854979786585827,0.949690423723918,20.465492419497497
3,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2,Sn;Br;Cl;Br^2,4.0,0.08629710089954677,0.00483448119159448,0.921925147075996,18.791336545442693
4,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cl^2,Sn;Br;Cl;Cl^2,4.0,0.08855630216924677,0.006559688595695378,0.917629504957556,48.18101850375021
5,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2,Sn;Br;Cl;Sn^2;Br^2,5.0,0.06381619210960617,0.0048707206201949885,0.9571879206007586,21.525446749159425
6,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Cl^2,Sn;Br;Cl;Sn^2;Cl^2,5.0,0.06961080151153028,0.0029073516369842235,0.9492460655550627,48.54078013206082
7,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2 + a5*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2 + a5*Cl^2,Sn;Br;Cl;Br^2;Cl^2,5.0,0.08653693419043293,0.00498328338845775,0.921479221385301,48.85332938537515
8,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2,Sn;Br;Cl;Sn^2;Br^2;Cl^2,6.0,0.06456922679024857,0.005078242134174922,0.956158700117455,49.17614842996105
9,Eg = a0 + a1*Sn + a2*Br + a4*Sn^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Sn^2,Sn;Br;Sn^2,3.0,0.1956023657476197,0.07950908384425656,0.5460770188454012,20.325044475390175
10,Eg = a0 + a1*Sn + a3*Cl + a4*Sn^2,True,,,Eg = a0 + a1*Sn + a2*Cl + a3*Sn^2,Sn;Cl;Sn^2,3.0,0.17412242345439843,0.02836967403923707,0.6765179324441177,19.931979304476858
11,Eg = a0 + a2*Br + a3*Cl + a5*Br^2,True,,,Eg = a0 + a1*Br + a2*Cl + a3*Br^2,Br;Cl;Br^2,3.0,0.13483262619086017,0.008084060980779222,0.8093421000783827,18.555951312953134
12,Eg = a0 + a1*Sn + a2*Br + a5*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Br^2,Sn;Br;Br^2,3.0,0.21061285265997745,0.07759090870674044,0.48478604880904874,18.760280678438505
13,Eg = a0 + a1*Sn + a3*Cl + a6*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Cl + a3*Cl^2,Sn;Cl;Cl^2,3.0,0.18234537901917142,0.02664246132773627,0.6466912831370759,44.62044511482941
14,Eg = a0 + a2*Br + a3*Cl + a6*Cl^2,True,,,Eg = a0 + a1*Br + a2*Cl + a3*Cl^2,Br;Cl;Cl^2,3.0,0.13560803064239535,0.007694072715022042,0.8072061025374185,47.65258925993996
15,Eg = a0 + a1*Sn + a2*Br + a4*Sn^2 + a5*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Sn^2 + a4*Br^2,Sn;Br;Sn^2;Br^2,4.0,0.19474231469175535,0.07883240247354524,0.5504939747829952,21.45680367620507
16,Eg = a0 + a1*Sn + a3*Cl + a4*Sn^2 + a6*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Cl + a3*Sn^2 + a4*Cl^2,Sn;Cl;Sn^2;Cl^2,4.0,0.1686993756694485,0.028353808147294286,0.6959396144632308,45.073936325495765
