complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.651186,0.0,1.65118600000000,PySRFunction(X=>1.65118600000000)
3,0.057229094,Cl + 1.6259135,0.2566546221120323,Cl + 1.6259135,PySRFunction(X=>Cl + 1.6259135)
5,0.026921794,Cl + (Br - -1.4211917),0.3770631304898871,Br + Cl - 1*(-1.4211917),PySRFunction(X=>Br + Cl - 1*(-1.4211917))
7,0.022747047,(Cl + 0.85912764) * (Br - -1.6526519),0.08425040484193146,(Br - 1*(-1.6526519))*(Cl + 0.85912764),PySRFunction(X=>(Br - 1*(-1.6526519))*(Cl + 0.85912764))
9,0.016584598,(((Br - Sn) * 0.4982243) + Cl) - -1.5940603,0.15798045071942188,Cl + (Br - Sn)*0.4982243 - 1*(-1.5940603),PySRFunction(X=>Cl + (Br - Sn)*0.4982243 - 1*(-1.5940603))
11,0.010814882,(((Br - Sn) * 0.4925723) + (Cl * 1.5827544)) - -1.5796684,0.2137756423809279,Cl*1.5827544 + (Br - Sn)*0.4925723 - 1*(-1.5796684),PySRFunction(X=>Cl*1.5827544 + (Br - Sn)*0.4925723 - 1*(-1.5796684))
13,0.0073681213,((1.6200498 - Sn) * (((Br - Sn) * 0.40846333) + Cl)) - -1.5411444,0.19188019333616396,(1.6200498 - Sn)*(Cl + (Br - Sn)*0.40846333) - 1*(-1.5411444),PySRFunction(X=>(1.6200498 - Sn)*(Cl + (Br - Sn)*0.40846333) - 1*(-1.5411444))
15,0.0046440843,(((Br * 0.61127913) - Sn) * (1.1267556 - Sn)) + ((Cl * 1.5059634) - -1.5390152),0.23078427288771183,Cl*1.5059634 + (1.1267556 - Sn)*(Br*0.61127913 - Sn) - 1*(-1.5390152),PySRFunction(X=>Cl*1.5059634 + (1.1267556 - Sn)*(Br*0.61127913 - Sn) - 1*(-1.5390152))
17,0.00434952,Cl + (((((Br + Cl) * 0.30093482) - Sn) * (2.1579642 - Sn)) + (Sn - -1.5428581)),0.03276436097055179,Cl + Sn + (2.1579642 - Sn)*(-Sn + (Br + Cl)*0.30093482) - 1*(-1.5428581),PySRFunction(X=>Cl + Sn + (2.1579642 - Sn)*(-Sn + (Br + Cl)*0.30093482) - 1*(-1.5428581))
19,0.004053921,(((((Br * (Br + 0.54018193)) + Cl) * 0.47646624) - -1.5795327) + Cl) - (Sn * (1.2224187 - Sn)),0.03519046663556234,Cl - Sn*(1.2224187 - Sn) + (Br*(Br + 0.54018193) + Cl)*0.47646624 - 1*(-1.5795327),PySRFunction(X=>Cl - Sn*(1.2224187 - Sn) + (Br*(Br + 0.54018193) + Cl)*0.47646624 - 1*(-1.5795327))
21,0.003724473,((2.1652606 - Sn) * (((Br + 1.9775941) * ((Cl + Br) * 0.11135161)) - Sn)) + ((Cl + Sn) - -1.5557766),0.042379597800366584,Cl + Sn + (2.1652606 - Sn)*(-Sn + (Br + 1.9775941)*(Br + Cl)*0.11135161) - 1*(-1.5557766),PySRFunction(X=>Cl + Sn + (2.1652606 - Sn)*(-Sn + (Br + 1.9775941)*(Br + Cl)*0.11135161) - 1*(-1.5557766))
23,0.0036252164,(Cl + (((((((Br + 1.1734867) * Br) * 0.6104419) + Cl) * 0.25452125) - Sn) * (2.1702597 - Sn))) + (Sn - -1.5626187),0.013505691118058142,Cl + Sn + (2.1702597 - Sn)*(-Sn + ((Br + 1.1734867)*Br*0.6104419 + Cl)*0.25452125) - 1*(-1.5626187),PySRFunction(X=>Cl + Sn + (2.1702597 - Sn)*(-Sn + ((Br + 1.1734867)*Br*0.6104419 + Cl)*0.25452125) - 1*(-1.5626187))
25,0.0035139914,((Br - -1.4015516) * ((((-0.5912048 - Cl) * ((Sn * -0.998093) + 1.2311885)) * Sn) + (Br * 0.3069301))) + ((Cl * 1.5675634) + 1.5561457),0.015580720334063358,Cl*1.5675634 + (Br - 1*(-1.4015516))*(Br*0.3069301 + Sn*(1.2311885 + Sn*(-0.998093))*(-Cl - 0.5912048)) + 1.5561457,PySRFunction(X=>Cl*1.5675634 + (Br - 1*(-1.4015516))*(Br*0.3069301 + Sn*(1.2311885 + Sn*(-0.998093))*(-Cl - 0.5912048)) + 1.5561457)
27,0.003450858,(1.5565104 + (((((Sn * -1.0369334) + 1.285262) * ((-0.5685799 - (Cs * Cl)) * Sn)) + (Br * 0.30814868)) * (Br - -1.3893497))) + (Cl * 1.5705802),0.0090648233163312,Cl*1.5705802 + (Br - 1*(-1.3893497))*(Br*0.30814868 + Sn*(1.285262 + Sn*(-1.0369334))*(-Cl*Cs - 0.5685799)) + 1.5565104,PySRFunction(X=>Cl*1.5705802 + (Br - 1*(-1.3893497))*(Br*0.30814868 + Sn*(1.285262 + Sn*(-1.0369334))*(-Cl*Cs - 0.5685799)) + 1.5565104)
