complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.6512401,0.0,1.65124010000000,PySRFunction(X=>1.65124010000000)
3,0.057229094,Cl + 1.6259135,0.2566546221120323,Cl + 1.6259135,PySRFunction(X=>Cl + 1.6259135)
5,0.026921798,(Br + Cl) - -1.4212068,0.3770630562006383,Br + Cl - 1*(-1.4212068),PySRFunction(X=>Br + Cl - 1*(-1.4212068))
6,0.025236772,square(Br + Cl) - -1.5143416,0.06463415577692844,(Br + Cl)**2 - 1*(-1.5143416),PySRFunction(X=>(Br + Cl)**2 - 1*(-1.5143416))
7,0.02274705,(Br + 1.6527473) * (Cl + 0.8590826),0.10386667060018981,(Br + 1.6527473)*(Cl + 0.8590826),PySRFunction(X=>(Br + 1.6527473)*(Cl + 0.8590826))
8,0.019284802,(square(Cl) + 0.82343173) * (Br + 1.75731),0.16511814209880815,(Br + 1.75731)*(Cl**2 + 0.82343173),PySRFunction(X=>(Br + 1.75731)*(Cl**2 + 0.82343173))
9,0.018076088,((Br * 0.7234079) + 1.4644139) + (Cl * 1.5293484),0.06472736468967179,Br*0.7234079 + Cl*1.5293484 + 1.4644139,PySRFunction(X=>Br*0.7234079 + Cl*1.5293484 + 1.4644139)
10,0.015721003,Cl + ((Br + 1.1371118) + square(Sn + -0.5878045)),0.1395923708339709,Br + Cl + (Sn - 0.5878045)**2 + 1.1371118,PySRFunction(X=>Br + Cl + (Sn - 0.5878045)**2 + 1.1371118)
11,0.010958303,(square(Cl + Br) + 1.2161638) + square(Sn + -0.6033043),0.3609001552717628,(Br + Cl)**2 + (Sn - 0.6033043)**2 + 1.2161638,PySRFunction(X=>(Br + Cl)**2 + (Sn - 0.6033043)**2 + 1.2161638)
12,0.008669889,((square(Cl + (0.66866237 - Sn)) + Br) + 1.7384338) * 0.7029658,0.23424144582282322,(Br + (Cl - Sn + 0.66866237)**2 + 1.7384338)*0.7029658,PySRFunction(X=>(Br + (Cl - Sn + 0.66866237)**2 + 1.7384338)*0.7029658)
13,0.006398592,((Br + 1.7005373) + square(square(0.77770525 - Sn) + Cl)) * 0.7390432,0.3037780217802521,(Br + (Cl + (0.77770525 - Sn)**2)**2 + 1.7005373)*0.7390432,PySRFunction(X=>(Br + (Cl + (0.77770525 - Sn)**2)**2 + 1.7005373)*0.7390432)
14,0.004728928,((Cl * 1.5122942) + 1.2147915) + ((square(Sn + -0.69572353) + Br) * 0.6669967),0.3023794278224168,Cl*1.5122942 + (Br + (Sn - 0.69572353)**2)*0.6669967 + 1.2147915,PySRFunction(X=>Cl*1.5122942 + (Br + (Sn - 0.69572353)**2)*0.6669967 + 1.2147915)
15,0.004112496,square(Sn + -0.61076325) + (square(Cl + ((Br * 0.6362263) + 0.23544718)) + 1.1479958),0.1396683948930191,(Sn - 0.61076325)**2 + (Br*0.6362263 + Cl + 0.23544718)**2 + 1.1479958,PySRFunction(X=>(Sn - 0.61076325)**2 + (Br*0.6362263 + Cl + 0.23544718)**2 + 1.1479958)
17,0.0040005576,(square(Sn + -0.61069405) + (square((Br + 0.42358178) * 0.6230505) + 1.1306931)) + (Cl * 1.5024536),0.013798196021013448,Cl*1.5024536 + 0.38819192555025*(Br + 0.42358178)**2 + (Sn - 0.61069405)**2 + 1.1306931,PySRFunction(X=>Cl*1.5024536 + 0.38819192555025*(Br + 0.42358178)**2 + (Sn - 0.61069405)**2 + 1.1306931)
19,0.0039111506,((Cl * 1.5095816) + 1.1418777) + ((square(Br + 0.44609728) * 0.37988234) + square((Sn * 0.92632765) + -0.5933126)),0.011301074798421379,Cl*1.5095816 + (Br + 0.44609728)**2*0.37988234 + (Sn*0.92632765 - 0.5933126)**2 + 1.1418777,PySRFunction(X=>Cl*1.5095816 + (Br + 0.44609728)**2*0.37988234 + (Sn*0.92632765 - 0.5933126)**2 + 1.1418777)
21,0.003447479,(Cl * 1.5031396) + (square((Br + 0.4575125) * -0.60786605) + (square((Cs * -0.089523174) + (Sn + -0.5957614)) + 1.1281192)),0.06309418125578095,Cl*1.5031396 + 0.369501134742603*(Br + 0.4575125)**2 + (Cs*(-0.089523174) + Sn - 0.5957614)**2 + 1.1281192,PySRFunction(X=>Cl*1.5031396 + 0.369501134742603*(Br + 0.4575125)**2 + (Cs*(-0.089523174) + Sn - 0.5957614)**2 + 1.1281192)
22,0.003426393,square((Br + 0.46447033) * -0.60328543) + ((Cl * 1.4968458) + (square((Sn - (square(Cs) * 0.09294703)) + -0.59988385) + 1.1280962)),0.0061351349398133005,Cl*1.4968458 + 0.363953310050285*(Br + 0.46447033)**2 + (-0.09294703*Cs**2 + Sn - 0.59988385)**2 + 1.1280962,PySRFunction(X=>Cl*1.4968458 + 0.363953310050285*(Br + 0.46447033)**2 + (-0.09294703*Cs**2 + Sn - 0.59988385)**2 + 1.1280962)
23,0.0033970973,((square((Cs * 0.088855825) - ((Sn + -0.61694384) * 0.94492704)) + 1.148291) + (Cl * 1.5078762)) + (square(Br + 0.43160528) * 0.38198858),0.008586772667925608,Cl*1.5078762 + (Br + 0.43160528)**2*0.38198858 + (Cs*0.088855825 - 0.94492704*(Sn - 0.61694384))**2 + 1.148291,PySRFunction(X=>Cl*1.5078762 + (Br + 0.43160528)**2*0.38198858 + (Cs*0.088855825 - 0.94492704*(Sn - 0.61694384))**2 + 1.148291)
24,0.0033831354,((square((Br + 0.49494252) * -0.6211044) + ((Cl * 1.6402924) + 1.2328124)) + square((Sn + -0.6166924) - (square(Cs) * 0.095957264))) * 0.9158016,0.004118419043173398,(Cl*1.6402924 + 0.38577067569936*(Br + 0.49494252)**2 + (-0.095957264*Cs**2 + Sn - 0.6166924)**2 + 1.2328124)*0.9158016,PySRFunction(X=>(Cl*1.6402924 + 0.38577067569936*(Br + 0.49494252)**2 + (-0.095957264*Cs**2 + Sn - 0.6166924)**2 + 1.2328124)*0.9158016)
25,0.0033031914,((square(Sn + -0.5867583) + (((0.098306425 - (Sn * 0.26184845)) * Cs) + (Cl * 1.522967))) + 1.1403149) + square((Br + 0.45102122) * 0.6115407),0.023913820594907455,Cl*1.522967 + Cs*(0.098306425 - 0.26184845*Sn) + 0.37398202775649*(Br + 0.45102122)**2 + (Sn - 0.5867583)**2 + 1.1403149,PySRFunction(X=>Cl*1.522967 + Cs*(0.098306425 - 0.26184845*Sn) + 0.37398202775649*(Br + 0.45102122)**2 + (Sn - 0.5867583)**2 + 1.1403149)
26,0.0032358249,((square(Sn + -0.5865799) + (square((Br + 0.4648165) * 0.6074268) + (Cl * 1.5271431))) + 1.1358417) + ((0.096987545 - (square(Sn) * 0.27728462)) * Cs),0.020605204330504452,Cl*1.5271431 + Cs*(0.096987545 - 0.27728462*Sn**2) + 0.36896731735824*(Br + 0.4648165)**2 + (Sn - 0.5865799)**2 + 1.1358417,PySRFunction(X=>Cl*1.5271431 + Cs*(0.096987545 - 0.27728462*Sn**2) + 0.36896731735824*(Br + 0.4648165)**2 + (Sn - 0.5865799)**2 + 1.1358417)
27,0.002973945,((Cs * (0.12298688 - ((Sn + Cl) * 0.2628758))) + (square((Br + 0.44508743) * 0.6126404) + 1.1421797)) + (square(Sn + -0.58399475) + (Cl * 1.6007954)),0.08439453346422826,Cl*1.6007954 + Cs*(0.12298688 - 0.2628758*(Cl + Sn)) + 0.37532825971216*(Br + 0.44508743)**2 + (Sn - 0.58399475)**2 + 1.1421797,PySRFunction(X=>Cl*1.6007954 + Cs*(0.12298688 - 0.2628758*(Cl + Sn)) + 0.37532825971216*(Br + 0.44508743)**2 + (Sn - 0.58399475)**2 + 1.1421797)
28,0.0029266833,square(Sn + -0.5845105) + ((((0.11990062 - ((Cl + square(Sn)) * 0.26782784)) * Cs) + ((Cl * 1.6059151) + square((Br + 0.452501) * 0.61049706))) + 1.1390486),0.016019551921592736,Cl*1.6059151 + Cs*(0.11990062 - 0.26782784*(Cl + Sn**2)) + 0.372706660268644*(Br + 0.452501)**2 + (Sn - 0.5845105)**2 + 1.1390486,PySRFunction(X=>Cl*1.6059151 + Cs*(0.11990062 - 0.26782784*(Cl + Sn**2)) + 0.372706660268644*(Br + 0.452501)**2 + (Sn - 0.5845105)**2 + 1.1390486)
29,0.002865504,((square(Sn + -0.5853558) + (square((Br * 0.59262604) + 0.30890855) + 1.1166112)) + (Cl * 1.559214)) + (Cs * (0.12300944 - ((Cl * Br) + (Sn * 0.25026345)))),0.021125551408439875,Cl*1.559214 + Cs*(0.12300944 - (Br*Cl + Sn*0.25026345)) + (Sn - 0.5853558)**2 + (Br*0.59262604 + 0.30890855)**2 + 1.1166112,PySRFunction(X=>Cl*1.559214 + Cs*(0.12300944 - (Br*Cl + Sn*0.25026345)) + (Sn - 0.5853558)**2 + (Br*0.59262604 + 0.30890855)**2 + 1.1166112)
