complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.6512029,0.0,1.65120290000000,PySRFunction(X=>1.65120290000000)
3,0.057229094,Cl + 1.6259135,0.2566546221120323,Cl + 1.6259135,PySRFunction(X=>Cl + 1.6259135)
5,0.026921796,Cl + (Br + 1.4211911),0.3770630933452613,Br + Cl + 1.4211911,PySRFunction(X=>Br + Cl + 1.4211911)
7,0.02274705,(Cl + 0.8591382) * (Br + 1.6526259),0.08425037604393615,(Br + 1.6526259)*(Cl + 0.8591382),PySRFunction(X=>(Br + 1.6526259)*(Cl + 0.8591382))
9,0.016584598,(((Br - Sn) * 0.4982243) + Cl) + 1.5940603,0.157980516662043,Cl + (Br - Sn)*0.4982243 + 1.5940603,PySRFunction(X=>Cl + (Br - Sn)*0.4982243 + 1.5940603)
11,0.010814882,((((Br - Sn) * 0.31121254) + Cl) + 0.9980508) * 1.5827535,0.2137756423809279,(Cl + (Br - Sn)*0.31121254 + 0.9980508)*1.5827535,PySRFunction(X=>(Cl + (Br - Sn)*0.31121254 + 0.9980508)*1.5827535)
13,0.0076209386,((Br * 0.6736458) + 1.5239902) + ((Cl * 1.5518361) - (Sn * 0.35484424)),0.1750118053036863,Br*0.6736458 + Cl*1.5518361 - 0.35484424*Sn + 1.5239902,PySRFunction(X=>Br*0.6736458 + Cl*1.5518361 - 0.35484424*Sn + 1.5239902)
15,0.0046440843,(((1.1267294 - Sn) * ((Br * 0.61131793) - Sn)) + 1.5390123) + (Cl * 1.5058795),0.2476526609201896,Cl*1.5058795 + (1.1267294 - Sn)*(Br*0.61131793 - Sn) + 1.5390123,PySRFunction(X=>Cl*1.5058795 + (1.1267294 - Sn)*(Br*0.61131793 - Sn) + 1.5390123)
17,0.00434952,(Cl + 1.5428563) + (Sn + ((Sn + ((Cl + Br) * -0.30093974)) * (Sn + -2.1579595))),0.03276436097055179,Cl + Sn + (Sn - 2.1579595)*(Sn + (Br + Cl)*(-0.30093974)) + 1.5428563,PySRFunction(X=>Cl + Sn + (Sn - 2.1579595)*(Sn + (Br + Cl)*(-0.30093974)) + 1.5428563)
19,0.00400061,((Br * ((Br + 0.85866904) * 0.3856293)) + (1.5731025 + (Cl * 1.50237))) + (Sn * (Sn + -1.2214447)),0.04180932234581026,Br*(Br + 0.85866904)*0.3856293 + Cl*1.50237 + Sn*(Sn - 1.2214447) + 1.5731025,PySRFunction(X=>Br*(Br + 0.85866904)*0.3856293 + Cl*1.50237 + Sn*(Sn - 1.2214447) + 1.5731025)
21,0.003911666,(Cl * 1.5099661) + ((((Br + 0.868681) * Br) * 0.38499734) + ((((Sn * 0.8614689) + -1.101986) * Sn) + 1.569887)),0.011241739644210809,(Br + 0.868681)*Br*0.38499734 + Cl*1.5099661 + Sn*(Sn*0.8614689 - 1.101986) + 1.569887,PySRFunction(X=>(Br + 0.868681)*Br*0.38499734 + Cl*1.5099661 + Sn*(Sn*0.8614689 - 1.101986) + 1.569887)
23,0.0036824683,(((((Br + 0.5126417) * Br) + Cl) * 0.49109825) + 1.5782614) + (Cl + ((-1.2109265 - ((Cl * Br) - Sn)) * Sn)),0.030190054584673047,Cl + Sn*(-(Br*Cl - Sn) - 1.2109265) + (Br*(Br + 0.5126417) + Cl)*0.49109825 + 1.5782614,PySRFunction(X=>Cl + Sn*(-(Br*Cl - Sn) - 1.2109265) + (Br*(Br + 0.5126417) + Cl)*0.49109825 + 1.5782614)
25,0.0036081963,(Cl + (Sn * (-1.214213 - (((Cs - Cl) * Cl) - Sn)))) + ((0.49104014 * (((Br + 0.50875044) * Br) + Cl)) + 1.5788292),0.010187626720594424,Cl + Sn*(-(Cl*(-Cl + Cs) - Sn) - 1.214213) + 0.49104014*(Br*(Br + 0.50875044) + Cl) + 1.5788292,PySRFunction(X=>Cl + Sn*(-(Cl*(-Cl + Cs) - Sn) - 1.214213) + 0.49104014*(Br*(Br + 0.50875044) + Cl) + 1.5788292)
27,0.0033469496,(((((Cl + Br) * (Br + 0.93807995)) * 0.3678922) + 1.9016503) + Cl) + ((Sn + 0.23108895) * (-1.4369144 - ((Cl * (Cs - Cl)) - Sn))),0.03757932186965383,Cl + (Br + Cl)*(Br + 0.93807995)*0.3678922 + (Sn + 0.23108895)*(-(Cl*(-Cl + Cs) - Sn) - 1.4369144) + 1.9016503,PySRFunction(X=>Cl + (Br + Cl)*(Br + 0.93807995)*0.3678922 + (Sn + 0.23108895)*(-(Cl*(-Cl + Cs) - Sn) - 1.4369144) + 1.9016503)
29,0.0032795395,((((Sn + 0.1275228) * (-1.328259 - (((Cl * (Cs - Cl)) * 1.6077257) - Sn))) + 1.7369125) + ((Br + 1.0183457) * ((Br + Cl) * 0.3547364))) + Cl,0.010173173828291667,Cl + (Br + 1.0183457)*(Br + Cl)*0.3547364 + (Sn + 0.1275228)*(-(Cl*(-Cl + Cs)*1.6077257 - Sn) - 1.328259) + 1.7369125,PySRFunction(X=>Cl + (Br + 1.0183457)*(Br + Cl)*0.3547364 + (Sn + 0.1275228)*(-(Cl*(-Cl + Cs)*1.6077257 - Sn) - 1.328259) + 1.7369125)
