group_strategy,heldout_groups,n_splits,mean_test_rmse,sd_test_rmse,mean_test_mae,mean_jaccard_to_M4
composition_family_group_shuffle,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__mixed_halide,1,0.1436637602243941,,0.1051692396346679,0.875
composition_family_group_shuffle,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Br_rich;mixed_A__Pb_rich__I_rich,1,0.0839295045455748,,0.070833489700865,1.0
composition_family_group_shuffle,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,1,0.0735242879197142,,0.0541946539729058,0.7777777777777778
composition_family_group_shuffle,Cs_rich__Pb_rich__Br_rich;Cs_rich__Sn_rich__Br_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Br_rich;MA_rich__mixed_B__mixed_halide,1,0.0692483780680908,,0.0558593458485089,0.4444444444444444
composition_family_group_shuffle,Cs_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__I_rich;MA_rich__mixed_B__mixed_halide,1,0.0790600329957212,,0.0529409254014884,0.5555555555555556
composition_family_group_shuffle,Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__Cl_containing;FA_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,1,0.153071101388507,,0.0624199676073702,0.6
composition_family_group_shuffle,Cs_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__I_rich,1,0.0852312290715121,,0.0678903718993948,0.6666666666666666
composition_family_group_shuffle,Cs_rich__Pb_rich__I_rich;Cs_rich__Pb_rich__mixed_halide;Cs_rich__mixed_B__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,1,0.1622250770661361,,0.1484247806634177,0.7777777777777778
composition_family_group_shuffle,Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__Br_rich;FA_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,1,0.1316325173371404,,0.1111807427640746,0.625
composition_family_group_shuffle,Cs_rich__Pb_rich__I_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide,1,0.0641265180083939,,0.052695176510135,0.875
