model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_group__Sn,shap_group__Br,shap_group__Cl,shap_group__Cs,allocation_note
raw_structure_s7,0,0.0,0.2,0.0,0.17,1.61,1.6601765111299394,1.6512277992277997,0.06155054565762355,-0.02123973563073798,-0.03876686427070096,0.007404766145955163,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,1,0.0,0.5,0.5,1.0,2.49,2.6963647338847956,1.6512277992277997,0.06155054565762355,0.16535989463382816,0.732263418232962,0.08596307613258242,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,2,0.0,0.167,0.0,0.13,1.63,1.6394385324745544,1.6512277992277997,0.06155054565762355,-0.03819177163616498,-0.03876686427070096,0.0036188234959972218,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,3,0.25,0.167,0.0,0.1,1.36,1.4103519271181706,1.6512277992277997,-0.15906958122022713,-0.04129002184118564,-0.03876686427070096,-0.0017494047775153795,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,4,0.75,0.0,0.0,0.2,1.2,1.2440099592731433,1.6512277992277997,-0.25040581672884527,-0.11311675437226891,-0.03876686427070096,-0.004928404582841262,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,5,0.0,0.008,0.0,0.03,1.6,1.5582242246571778,1.6512277992277997,0.06155054565762355,-0.1099412228286469,-0.03876686427070096,-0.005846033128897629,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,6,0.25,0.6,0.0,0.0,1.73,1.6686388746828265,1.6512277992277997,-0.164573997591512,0.22943742743360582,-0.03876686427070096,-0.008685490116366084,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,7,0.0,0.14,0.0,0.0,1.62,1.6137912395246319,1.6512277992277997,0.06155054565762355,-0.05153475097372436,-0.03876686427070096,-0.008685490116366084,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,8,0.0,0.17,0.0,0.06,1.63,1.6343249565581484,1.6512277992277997,0.06155054565762355,-0.03667994791514479,-0.03876686427070096,-0.003006576141429174,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
raw_structure_s7,9,0.0,0.025,0.0,0.0,1.613,1.5622709938226709,1.6512277992277997,0.06155054565762355,-0.1030549966756854,-0.03876686427070096,-0.008685490116366084,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
