model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_group__Sn,shap_group__Br,shap_group__Cl,shap_group__Cs,allocation_note
m4_pruned,0,0.0,0.2,0.0,0.17,1.61,1.6606982596514677,1.6512277992278002,0.06305608017767068,-0.025701528593728845,-0.03855881486678118,0.010674723706506888,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,1,0.0,0.5,0.5,1.0,2.49,2.6681486222369584,1.6512277992278002,0.06305608017767068,0.12927362589910021,0.7229733683340976,0.10161774859828976,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,2,0.0,0.167,0.0,0.13,1.63,1.639990277642765,1.6512277992278002,0.06305608017767068,-0.04133753836391994,-0.03855881486678118,0.005602751467995285,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,3,0.25,0.167,0.0,0.1,1.36,1.4112434210204845,1.6512277992278002,-0.1585629966524998,-0.04099796044026638,-0.03855881486678118,-0.001864606247768328,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,4,0.75,0.0,0.0,0.2,1.2,1.2311946285346815,1.6512277992278002,-0.26772151010976725,-0.11089166732042796,-0.03855881486678118,-0.0028611783961419693,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,5,0.0,0.008,0.0,0.03,1.6,1.5600459700942126,1.6512277992278002,0.06305608017767068,-0.10797461118776722,-0.03855881486678118,-0.007704483256709617,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,6,0.25,0.6,0.0,0.0,1.73,1.685469386194414,1.6512277992278002,-0.15518480256946665,0.2401021620100319,-0.03855881486678118,-0.012116957607170135,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,7,0.0,0.14,0.0,0.0,1.62,1.6108648565350467,1.6512277992278002,0.06305608017767068,-0.05274325039647273,-0.03855881486678118,-0.012116957607170135,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,8,0.0,0.17,0.0,0.06,1.63,1.632680836525397,1.6512277992278002,0.06305608017767068,-0.03909339726714085,-0.03855881486678118,-0.003950830746151815,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,9,0.0,0.025,0.0,0.0,1.613,1.5620398112379965,1.6512277992278002,0.06305608017767068,-0.1015682956935231,-0.03855881486678118,-0.012116957607170135,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,10,0.0,0.157,0.0,0.07,1.6,1.6277539643859353,1.6512277992278002,0.06305608017767068,-0.045442970372565596,-0.03855881486678118,-0.0025281297801887322,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,11,0.2,0.0,0.0,0.17,1.35,1.3848522017283165,1.6512277992278002,-0.1253100159050222,-0.11089166732042796,-0.03855881486678118,0.008384900592747723,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,12,0.0,0.17,0.0,0.25,1.63,1.6563509434547474,1.6512277992278002,0.06305608017767068,-0.041282692064348446,-0.03855881486678118,0.021908570980406196,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_pruned,13,0.0,0.2,0.0,0.2,1.48,1.6643136409116757,1.6512277992278002,0.06305608017767068,-0.026108208741816942,-0.03855881486678118,0.014696785114802833,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
